person_id,display_first_last,position,season_exp,height,weight,from_year,to_year,height_inches
78226,Art Spector,Forward,4.0,6-4,200.0,1946.0,1949.0,76.0
201578,Marreese Speights,Forward-Center,11.0,6-10,255.0,2008.0,2017.0,82.0
1629016,Omari Spellman,Forward,3.0,6-8,245.0,2018.0,2019.0,80.0
78227,Andre Spencer,Forward,2.0,6-6,210.0,1992.0,1993.0,78.0
771,Elmore Spencer,Center,5.0,7-0,270.0,1992.0,1996.0,84.0
280,Felton Spencer,Center,12.0,7-0,290.0,1990.0,2001.0,84.0
78230,Lou Spicer,Forward,1.0,6-2,195.0,1946.0,1946.0,74.0
78231,Craig Spitzer,Center,1.0,7-0,225.0,1967.0,1967.0,84.0
201168,Tiago Splitter,Center-Forward,8.0,6-11,245.0,2010.0,2016.0,83.0
78232,Art Spoelstra,Center,4.0,6-9,220.0,1954.0,1957.0,81.0
84,Latrell Sprewell,Guard,14.0,6-5,195.0,1992.0,2004.0,77.0
78233,Larry Spriggs,Forward,5.0,6-7,230.0,1981.0,1985.0,79.0
1630531,Jaden Springer,Guard,2.0,6-4,202.0,2021.0,2023.0,76.0
78234,Jim Springer,Center,1.0,6-9,235.0,1948.0,1948.0,81.0
78235,Jim Spruill,Forward,1.0,6-2,225.0,1948.0,1948.0,74.0
1756,Ryan Stack,Forward,2.0,6-11,215.0,1998.0,1999.0,83.0
711,Jerry Stackhouse,Forward,19.0,6-6,218.0,1995.0,2012.0,78.0
78237,Kevin Stacom,Guard,6.0,6-3,185.0,1974.0,1981.0,75.0
78238,Dave Stallworth,Forward,8.0,6-7,200.0,1965.0,1974.0,79.0
78239,Isaac Stallworth,Forward,5.0,6-5,190.0,1972.0,1976.0,77.0
78240,Ed Stanczak,Forward,2.0,6-1,185.0,1949.0,1950.0,73.0
1630199,Cassius Stanley,Guard,2.0,6-5,190.0,2020.0,2021.0,77.0
78241,Terence Stansbury,Guard,3.0,6-5,170.0,1984.0,1986.0,77.0
317,John Starks,Guard,13.0,6-5,190.0,1988.0,2001.0,77.0
78243,Keith Starr,Guard,1.0,6-6,190.0,1976.0,1976.0,78.0
203917,Nik Stauskas,Guard,7.0,6-6,207.0,2014.0,2021.0,78.0
78244,Larry Staverman,Forward,5.0,6-7,205.0,1958.0,1963.0,79.0
78245,Larry Steele,Guard,9.0,6-5,180.0,1971.0,1979.0,77.0
1099,Matt Steigenga,Forward,1.0,6-7,225.0,1996.0,1996.0,79.0
1735,Vladimir Stepania,Center,7.0,7-1,255.0,1998.0,2003.0,85.0
203474,DJ Stephens,Guard-Forward,2.0,6-5,188.0,2013.0,2018.0,77.0
